match_id,date,time,home_team,away_team,arena,home_goals,away_goals,status,round,season
SHL_682705d8d745973fd97dcb00,2025-11-20,18:00,Brynäs IF,Timrå IK,Monitor ERP Arena,,,Scheduled,12,2024-2025
SHL_682705d8d745973fd97dcb01,2025-11-20,18:00,Frölunda HC,Malmö Redhawks,Scandinavium,,,Scheduled,12,2024-2025
SHL_68276130d745973fdd6d7b06,2025-11-20,18:00,Djurgårdens IF,Linköping HC,Hovet,,,Scheduled,12,2024-2025
SHL_682705d8d745973fdd6d6ff6,2025-11-20,18:00,Rögle BK,Skellefteå AIK,Catena Arena,,,Scheduled,12,2024-2025
SHL_682705d8d745973fd97dcb02,2025-11-20,18:00,Leksands IF,Växjö Lakers,Tegera Arena,,,Scheduled,12,2024-2025
SHL_682705d8d745973fd97dcb03,2025-11-20,18:00,Färjestad BK,HV71,Löfbergs Arena,,,Scheduled,12,2024-2025
SHL_68276130d745973fdd6d7b07,2025-11-20,18:00,Örebro Hockey,Luleå Hockey,Behrn Arena,,,Scheduled,12,2024-2025
SHL_68276130d745973fdd6d7b08,2025-11-22,14:15,Timrå IK,Linköping HC,SCA Arena,,,Scheduled,12,2024-2025
SHL_682705d8d745973fd97dcb04,2025-11-22,14:15,Leksands IF,Frölunda HC,Tegera Arena,,,Scheduled,12,2024-2025
SHL_682705d8d745973fdd6d6ff7,2025-11-22,14:15,Örebro Hockey,Växjö Lakers,Behrn Arena,,,Scheduled,12,2024-2025
SHL_68276130d745973fdd6d7b09,2025-11-22,14:15,HV71,Luleå Hockey,Husqvarna Garden,,,Scheduled,12,2024-2025
SHL_682705d8d745973fdd6d6ff8,2025-11-22,17:00,Malmö Redhawks,Skellefteå AIK,Malmö Arena,,,Scheduled,12,2024-2025
SHL_682705d8d745973fd97dcb05,2025-11-22,17:00,Färjestad BK,Djurgårdens IF,Löfbergs Arena,,,Scheduled,12,2024-2025
SHL_682705d8d745973fd97dcb06,2025-11-22,17:00,Brynäs IF,Rögle BK,Monitor ERP Arena,,,Scheduled,12,2024-2025
SHL_682705d8d745973fd97dcb07,2025-11-25,18:00,Malmö Redhawks,Växjö Lakers,Malmö Arena,,,Scheduled,13,2024-2025
SHL_682705d8d745973fd97dcb08,2025-11-25,18:00,Djurgårdens IF,Färjestad BK,Hovet,,,Scheduled,13,2024-2025
SHL_68276130d745973fdd6d7b0a,2025-11-27,18:00,Linköping HC,Brynäs IF,Saab Arena,,,Scheduled,13,2024-2025
SHL_682705d8d745973fbe09bcb2,2025-11-27,18:00,Skellefteå AIK,Frölunda HC,Skellefteå Kraft Arena,,,Scheduled,13,2024-2025
SHL_682705d8d745973fbe09bcb3,2025-11-27,18:00,Växjö Lakers,Timrå IK,Vida Arena,,,Scheduled,13,2024-2025
SHL_682705d8d745973fbe09bcb4,2025-11-27,18:00,Rögle BK,Djurgårdens IF,Catena Arena,,,Scheduled,13,2024-2025
SHL_682705d8d745973fbe09bcb5,2025-11-27,18:00,HV71,Örebro Hockey,Husqvarna Garden,,,Scheduled,13,2024-2025
SHL_682705d8d745973fbe09bcb6,2025-11-27,18:00,Färjestad BK,Malmö Redhawks,Löfbergs Arena,,,Scheduled,13,2024-2025
SHL_68276130d745973fdd6d7b0b,2025-11-27,18:00,Luleå Hockey,Leksands IF,Coop Norrbotten Arena,,,Scheduled,13,2024-2025
